USDA_symbol,phenology (DOY 50% fruit),dataset
ACMO2,99,2017
AGHE2,108,2017
ANAR,NA,2017
ANFI3,98,2017
ASGA,98,2017
AVBA,101,2017
AVFA,106,2017
NA,NA,2017
BRDI3,108,2017
BRHO2,112,2017
CAPY2,144,2017
CLPE,80,2017
CRSE11,NA,2017
FEMY2,102,2017
GIOC,89,2017
LASE,NA,2017
LARA,NA,2017
LEPA51,98,2017
LEBI4,86,2017
LOPE,NA,2017
LOST4,88,2017
LUBI,90,2017
MIDO,103,2017
PLER3,98,2017
STPU2,NA,2017
TOAR,144,2017
TRLA4,NA,2017
TRAL5,108,2017
VIPE3,NA,2017
URLI5,119,tapioca
MIDO,120,tapioca
AMME,121,tapioca
ANAR,159,tapioca
CEME2,171,tapioca
CLBO,164,tapioca
CLPU2,128,tapioca
ERMO7,118,tapioca
ERCI6,118,tapioca
EUSP,103,tapioca
GECA5,144,tapioca
HECO7,174,tapioca
LACA7,120,tapioca
LOAM5,180,tapioca
LOWR2,110,tapioca
MEPO3,115,tapioca
NAAT,212,tapioca
PLER3,134,tapioca
SACO6,149,tapioca
SIGA,146,tapioca
